prompt_id,category,stress_type,prompt,negative_prompt,seed,split
main_text_heavy_001,text-heavy,dense_multiline_copy,"centered poster composition of a transit departure board on a matte paper poster, the primary readable text says ""Studio Nine 06:45"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210001,main
main_text_heavy_002,text-heavy,stacked_wayfinding,"rectified signage capture of a stadium entrance banner under warm cafe lighting, the primary readable text says ""Studio Nine Counter Service"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210002,main
main_text_heavy_003,text-heavy,packaging_microtype,"tight shelf-level crop of a museum exhibit placard at a trade show booth, the primary readable text says ""Studio Nine Batch 17"", small secondary copy under the headline, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210003,main
main_text_heavy_004,text-heavy,menu_tabular_text,"slightly angled close-up of a conference schedule screen beside a sunlit storefront window, the primary readable text says ""Section F Tickets Here"", sharp kerning and even line spacing, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210004,main
main_text_heavy_005,text-heavy,screen_text_glare,"overhead flat-lay framing of a bookstore display sign inside a quiet hotel lobby, the primary readable text says ""Section F Final Call"", minimal background distraction, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210005,main
main_text_heavy_006,text-heavy,condensed_lettering,"eye-level product shot of a hardware aisle instruction label in a fluorescent station concourse, the primary readable text says ""Harbor Line Open Daily"", crisp printed texture, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210006,main
main_text_heavy_007,text-heavy,dense_multiline_copy,"front-facing documentary crop of a hotel wayfinding directory mounted on brushed steel, the primary readable text says ""Harbor Line Fragile Glass"", a dense but readable layout, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210007,main
main_text_heavy_008,text-heavy,stacked_wayfinding,"clean kiosk photo of a corner cafe menu board on a warehouse shelf, the primary readable text says ""Harbor Line Lot 24A"", thin divider rules between lines, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210008,main
main_text_heavy_009,text-heavy,packaging_microtype,"centered poster composition of a shipping carton label on a matte paper poster, the primary readable text says ""Clinic Window No Flash"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210009,main
main_text_heavy_010,text-heavy,menu_tabular_text,"rectified signage capture of a pharmacy shelf label strip under warm cafe lighting, the primary readable text says ""Clinic Window Reserved Seating"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210010,main
main_text_heavy_011,text-heavy,screen_text_glare,"tight shelf-level crop of a tea package front panel at a trade show booth, the primary readable text says ""Parcel Bay Handle With Care"", small secondary copy under the headline, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210011,main
main_text_heavy_012,text-heavy,condensed_lettering,"slightly angled close-up of a bakery price card wall beside a sunlit storefront window, the primary readable text says ""Parcel Bay East Entrance"", sharp kerning and even line spacing, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210012,main
main_text_heavy_013,text-heavy,dense_multiline_copy,"overhead flat-lay framing of a transit departure board inside a quiet hotel lobby, the primary readable text says ""Quiet Study 06:45"", minimal background distraction, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210013,main
main_text_heavy_014,text-heavy,stacked_wayfinding,"eye-level product shot of a stadium entrance banner in a fluorescent station concourse, the primary readable text says ""Quiet Study Counter Service"", crisp printed texture, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210014,main
main_text_heavy_015,text-heavy,packaging_microtype,"front-facing documentary crop of a museum exhibit placard mounted on brushed steel, the primary readable text says ""Quiet Study Batch 17"", a dense but readable layout, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210015,main
main_text_heavy_016,text-heavy,menu_tabular_text,"clean kiosk photo of a conference schedule screen on a warehouse shelf, the primary readable text says ""North Pier Tickets Here"", thin divider rules between lines, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210016,main
main_text_heavy_017,text-heavy,screen_text_glare,"centered poster composition of a bookstore display sign on a matte paper poster, the primary readable text says ""North Pier Final Call"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210017,main
main_text_heavy_018,text-heavy,condensed_lettering,"rectified signage capture of a hardware aisle instruction label under warm cafe lighting, the primary readable text says ""Gate B12 Open Daily"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210018,main
main_text_heavy_019,text-heavy,dense_multiline_copy,"tight shelf-level crop of a hotel wayfinding directory at a trade show booth, the primary readable text says ""Gate B12 Fragile Glass"", small secondary copy under the headline, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210019,main
main_text_heavy_020,text-heavy,stacked_wayfinding,"slightly angled close-up of a corner cafe menu board beside a sunlit storefront window, the primary readable text says ""Gate B12 Lot 24A"", sharp kerning and even line spacing, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210020,main
main_text_heavy_021,text-heavy,packaging_microtype,"overhead flat-lay framing of a shipping carton label inside a quiet hotel lobby, the primary readable text says ""Fresh Soba No Flash"", minimal background distraction, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210021,main
main_text_heavy_022,text-heavy,menu_tabular_text,"eye-level product shot of a pharmacy shelf label strip in a fluorescent station concourse, the primary readable text says ""Fresh Soba Reserved Seating"", crisp printed texture, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210022,main
main_text_heavy_023,text-heavy,screen_text_glare,"front-facing documentary crop of a tea package front panel mounted on brushed steel, the primary readable text says ""Exhibit Hall Handle With Care"", a dense but readable layout, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210023,main
main_text_heavy_024,text-heavy,condensed_lettering,"clean kiosk photo of a bakery price card wall on a warehouse shelf, the primary readable text says ""Exhibit Hall East Entrance"", thin divider rules between lines, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210024,main
main_text_heavy_025,text-heavy,dense_multiline_copy,"centered poster composition of a transit departure board on a matte paper poster, the primary readable text says ""Seat Row C 06:45"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210025,main
main_text_heavy_026,text-heavy,stacked_wayfinding,"rectified signage capture of a stadium entrance banner under warm cafe lighting, the primary readable text says ""Seat Row C Counter Service"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",210026,main
