prompt_id,category,stress_type,prompt,negative_prompt,seed,split
kill_text_heavy_001,text-heavy,dense_multiline_copy,"centered poster composition of a transit departure board on a matte paper poster, the primary readable text says ""North Pier 06:45"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110001,kill
kill_text_heavy_002,text-heavy,stacked_wayfinding,"rectified signage capture of a stadium entrance banner under warm cafe lighting, the primary readable text says ""North Pier Counter Service"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110002,kill
kill_text_heavy_003,text-heavy,packaging_microtype,"tight shelf-level crop of a museum exhibit placard at a trade show booth, the primary readable text says ""North Pier Batch 17"", small secondary copy under the headline, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110003,kill
kill_text_heavy_004,text-heavy,menu_tabular_text,"slightly angled close-up of a conference schedule screen beside a sunlit storefront window, the primary readable text says ""Gate B12 Tickets Here"", sharp kerning and even line spacing, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110004,kill
kill_text_heavy_005,text-heavy,screen_text_glare,"overhead flat-lay framing of a bookstore display sign inside a quiet hotel lobby, the primary readable text says ""Gate B12 Final Call"", minimal background distraction, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110005,kill
kill_text_heavy_006,text-heavy,condensed_lettering,"eye-level product shot of a hardware aisle instruction label in a fluorescent station concourse, the primary readable text says ""Fresh Soba Open Daily"", crisp printed texture, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110006,kill
kill_text_heavy_007,text-heavy,dense_multiline_copy,"front-facing documentary crop of a hotel wayfinding directory mounted on brushed steel, the primary readable text says ""Fresh Soba Fragile Glass"", a dense but readable layout, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110007,kill
kill_text_heavy_008,text-heavy,stacked_wayfinding,"clean kiosk photo of a corner cafe menu board on a warehouse shelf, the primary readable text says ""Fresh Soba Lot 24A"", thin divider rules between lines, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110008,kill
kill_text_heavy_009,text-heavy,packaging_microtype,"centered poster composition of a shipping carton label on a matte paper poster, the primary readable text says ""Exhibit Hall No Flash"", clear punctuation and separators, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110009,kill
kill_text_heavy_010,text-heavy,menu_tabular_text,"rectified signage capture of a pharmacy shelf label strip under warm cafe lighting, the primary readable text says ""Exhibit Hall Reserved Seating"", mixed uppercase and numerals, realistic print texture, 1024x1024 composition.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",110010,kill
