prompt_id,category,stress_type,prompt,negative_prompt,seed,split
hard_text_heavy_001,text-heavy,microtext_reflection,"close documentary photograph of a foil medicine blister card at a steep three-quarter angle, tiny printed text reading ""Archive Room C7 | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310001,hard
hard_text_heavy_002,text-heavy,curved_surface_ocr,"focused near-field shot of a small instruction label on a camera body with mixed daylight and tungsten light, tiny printed text reading ""Lot 24A | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310002,hard
hard_text_heavy_003,text-heavy,stacked_small_caps,"tight macro capture of a translucent luggage tag with shallow depth of field behind it, tiny printed text reading ""Batch 17 | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310003,hard
hard_text_heavy_004,text-heavy,angled_label_copy,"angled product close-up of an embroidered event badge under reflective overhead light, tiny printed text reading ""Specimen 08 | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310004,hard
hard_text_heavy_005,text-heavy,receipt_line_density,"extreme-detail crop of a curved soda can label with subtle surface wrinkles, tiny printed text reading ""Camera Bay 3 | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310005,hard
hard_text_heavy_006,text-heavy,microtext_reflection,"close documentary photograph of a glossy restaurant receipt pinned to cork at a steep three-quarter angle, tiny printed text reading ""Lot 24A | Gloves Required"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310006,hard
hard_text_heavy_007,text-heavy,curved_surface_ocr,"focused near-field shot of a foil medicine blister card with mixed daylight and tungsten light, tiny printed text reading ""Batch 17 | Fragile Glass"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310007,hard
hard_text_heavy_008,text-heavy,stacked_small_caps,"tight macro capture of a small instruction label on a camera body with shallow depth of field behind it, tiny printed text reading ""Gate D4 | Return After Check"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310008,hard
hard_text_heavy_009,text-heavy,angled_label_copy,"angled product close-up of a translucent luggage tag under reflective overhead light, tiny printed text reading ""Camera Bay 3 | Final Call 18:20"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310009,hard
hard_text_heavy_010,text-heavy,receipt_line_density,"extreme-detail crop of an embroidered event badge with subtle surface wrinkles, tiny printed text reading ""Archive Room C7 | Review Before Use"", high local contrast, realistic material reflections, hard-detail OCR target.","blurry text, illegible letters, warped glyphs, extra characters, watermark, heavy noise, oversmoothing",310010,hard
